sim_time,gt_x,gt_y,gt_yaw,odom_dist_cum,odom_x,odom_y,odom_yaw,left_count,right_count,left_wheel_pos,right_wheel_pos,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_accel_x,imu_accel_y,imu_accel_z
0.0,0.0001294711692025885,1.8431770554272475e-09,9.669373049643604e-14,0.0,0.0,0.0,0.0,3,3,0.0516524538397789,0.05180323123931885,-1.3000083676217855e-08,-0.07293816655874252,-1.0885744528010832e-09,-0.011125070974230766,1.6728733953641495e-09,-9.809993743896484
0.016666666666666666,0.00026847730623558164,2.443579338873292e-09,-1.535498117544165e-11,0.003,0.003,0.0,0.0,6,6,0.10719560086727142,0.1073480173945427,-1.0778403058964159e-08,-0.07310165464878082,-9.523901667307655e-10,-0.08207828551530838,1.0699007901848745e-08,-19.619888305664062
0.03333333333333333,0.0004075254255440086,-6.934053886631375e-10,-2.7955663825518506e-11,0.007,0.007,0.0,0.0,10,10,0.1627478450536728,0.1629003882408142,-1.7129741181065583e-08,-0.07310596108436584,-7.945235580564258e-10,-0.11782969534397125,2.7784780698425493e-08,-19.619733810424805
0.05,0.0005465733702294528,-1.951355077522976e-09,-3.834737735686211e-11,0.01,0.01,0.0,0.0,13,13,0.21830008924007416,0.21845276653766632,-8.51863912743056e-09,-0.07310982048511505,-6.661610152391972e-10,-0.15367311239242554,1.659487303129481e-08,-19.619518280029297
0.06666666666666667,0.0013935888418927789,1.192079798784107e-05,-1.653739673201926e-05,0.011,0.011,0.0,0.0,14,14,0.2329549640417099,0.2328186333179474,0.14401724934577942,-0.40773239731788635,-0.009161525405943394,1.6656619310379028,-2.1878490447998047,51.61172103881836
0.08333333333333333,0.0031326839234679937,-0.0001274386013392359,-0.0005637357826344669,0.012499999999999999,0.012499988000016,-5.999984000012801e-06,-0.004,16,15,0.2610045373439789,0.25775855779647827,-0.028013581410050392,-0.6594213247299194,-0.014362741261720657,0.6916470527648926,2.122567892074585,-12.445550918579102
0.1,0.0054620420560240746,-0.00012904642790090293,-0.0008725728839635849,0.015,0.014999988000016,-5.999984000012801e-06,0.0,18,18,0.3005073368549347,0.2960989475250244,0.0232622642070055,-0.8134486675262451,-0.024595612660050392,0.21471703052520752,-0.1629449725151062,-9.87140941619873
0.11666666666666667,0.008180564269423485,-0.0001344018819509074,-0.0011899247765541077,0.017499999999999998,0.017499968000042665,-1.5999957333367467e-05,-0.004,21,20,0.34639281034469604,0.34065476059913635,0.030545549467206,-0.931012749671936,-0.022482363507151604,-0.1594039499759674,-0.03967801481485367,-9.998863220214844
0.13333333333333333,0.011176267638802528,-0.0001402816124027595,-0.0014624545583501458,0.020499999999999997,0.020499944000074665,-2.7999925333393067e-05,-0.004,24,23,0.3968505561351776,0.39011695981025696,0.029415586963295937,-1.024416208267212,-0.020765220746397972,-0.4845481812953949,0.012276679277420044,-9.935887336730957
0.15,0.01438056118786335,-0.00014715611177962273,-0.0016865422949194908,0.023999999999999997,0.023999944000074665,-2.7999925333393067e-05,0.0,27,27,0.45073258876800537,0.4430546462535858,0.029548518359661102,-1.106182336807251,-0.0173545703291893,-0.7889490723609924,-0.0024588657543063164,-9.938958168029785
