sim_time,gt_x,gt_y,gt_yaw,left_wheel_pos,right_wheel_pos,root_lin_vel_x,root_ang_vel_z
0.0,0.0001194048672914505,-7.334456313401461e-06,1.26494612118222e-07,0.0021591708064079285,0.0021588292438536882,-0.005705239251255989,0.0001699385466054082
0.016666666666666666,4.1017308831214905e-05,-7.3589617386460304e-06,5.808659775397018e-09,0.0012982254847884178,0.0012995414435863495,-0.004023453686386347,0.00012330572644714266
0.03333333333333333,-1.3204291462898254e-05,-7.31833279132843e-06,9.458048566557409e-08,0.0007020454504527152,0.0007030793931335211,-0.002781954128295183,7.198895764304325e-05
0.05,-4.954356700181961e-05,-7.407681550830603e-06,6.980837383707694e-07,0.000302815402392298,0.00030445840093307197,-0.001875962014310062,3.956617547373753e-06
0.06666666666666667,-7.30026513338089e-05,-7.363676559180021e-06,-4.025080713176976e-08,4.474003435461782e-05,4.666535460273735e-05,-0.0012086161877959967,2.68953026534291e-05
0.08333333333333333,-8.681509643793106e-05,-7.368915248662233e-06,6.863884891572525e-07,-0.00010631921031745151,-0.00010456606833031401,-0.000720194133464247,2.560497341619339e-05
0.1,-9.378138929605484e-05,-7.342314347624779e-06,3.75892426518476e-07,-0.00018381948757451028,-0.0001816640724427998,-0.0003685292031150311,2.594028592284303e-05
0.11666666666666667,-9.564962238073349e-05,-7.369962986558676e-06,6.188897145875671e-07,-0.0002040384424617514,-0.00020187169138807803,-0.00010770603694254532,1.7971518900594674e-05
0.13333333333333333,-9.371805936098099e-05,-7.366237696260214e-06,6.26475866738474e-07,-0.0001833149726735428,-0.00018112972611561418,8.393581811105832e-05,3.377610846655443e-05
0.15,-8.906982839107513e-05,-7.37776281312108e-06,5.531513238565822e-07,-0.0001318467257078737,-0.00013067339023109525,0.00022449682001024485,4.410318433656357e-05
0.16666666666666666,-8.236058056354523e-05,-7.364025805145502e-06,6.281875357672106e-07,-5.8783603890333325e-05,-5.738121399190277e-05,0.0003282576217316091,-3.2240529890259495e-06
0.18333333333333332,-7.420871406793594e-05,-7.351860404014587e-06,8.421689017268363e-07,2.98430477414513e-05,3.293152622063644e-05,0.00040415042894892395,-8.847517165122554e-06
0.2,-6.494671106338501e-05,-7.377006113529205e-06,7.858737944843597e-07,0.00013196427607908845,0.00013458346074912697,0.00045931144268251956,-4.053041720908368e-06
0.21666666666666667,-5.4933130741119385e-05,-7.387076038867235e-06,7.083856417011702e-07,0.00024223100626841187,0.00024455247330479324,0.0004986597923561931,-4.366196662886068e-05
0.23333333333333334,-4.429090768098831e-05,-7.3713017627596855e-06,7.217471988951729e-07,0.0003589761327020824,0.00036102961166761816,0.0005294075817801058,2.6624318252288504e-06
0.25,-3.320164978504181e-05,-7.309252396225929e-06,1.6580089834405953e-07,0.00047934570466168225,0.0004819478781428188,0.000557944702450186,-3.270293746027164e-05
0.26666666666666666,-2.1576881408691406e-05,-7.349415682256222e-06,8.413965133513557e-07,0.0006074407137930393,0.0006096003926359117,0.0005768226110376418,-1.4460312740993686e-05
0.2833333333333333,-9.89530235528946e-06,-7.37473601475358e-06,5.56463362499926e-07,0.0007368159131146967,0.0007378844893537462,0.0005854142946191132,-1.4267315236793365e-05
0.3,1.955777406692505e-06,-7.421534974128008e-06,7.317690347008465e-07,0.0008667053771205246,0.0008677454316057265,0.0005935924127697945,-5.905601938138716e-06
0.31666666666666665,1.3957731425762177e-05,-7.354188710451126e-06,4.37061004276984e-07,0.0009983883937820792,0.0009981158655136824,0.0005987972836010158,1.6431547919637524e-05
0.3333333333333333,2.5993213057518005e-05,-7.3498813435435295e-06,6.16768659256195e-07,0.001130413729697466,0.0011310521513223648,0.0006025634938850999,2.316497193532996e-05
0.35,3.813486546278e-05,-7.362221367657185e-06,7.607681595800386e-07,0.0012627871474251151,0.0012642414076253772,0.0006056508282199502,1.3045611922279932e-05
0.36666666666666664,5.0282105803489685e-05,-7.382535841315985e-06,8.144781418195635e-07,0.0013964539393782616,0.0013979293871670961,0.0006082240142859519,1.541930942039471e-05
