epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3930.26,1.07525,0.49859,0.0091,0.82914,0.93504,0.85787,0.65844,0.92168,0.39369,0.00924,0.0019293,0.0019293,0.0019293
43,4022.98,1.04365,0.50581,0.00906,0.78523,0.96022,0.85514,0.67942,0.82671,0.42378,0.00847,0.0018843,0.0018843,0.0018843
44,4115.7,1.06766,0.487,0.00915,0.82334,0.94494,0.86535,0.69692,0.78606,0.39848,0.00767,0.00183894,0.00183894,0.00183894
45,4208.39,1.0638,0.47575,0.00912,0.80343,0.96772,0.87161,0.64065,1.02483,0.41808,0.01014,0.00179326,0.00179326,0.00179326
46,4300.4,1.03284,0.47151,0.00862,0.81996,0.90754,0.86178,0.70383,0.79885,0.40627,0.00888,0.00174731,0.00174731,0.00174731
47,4394.89,1.05384,0.48444,0.00901,0.83263,0.92853,0.8718,0.70856,0.80946,0.43943,0.00879,0.00170112,0.00170112,0.00170112
48,4486.82,1.04243,0.47151,0.00887,0.82855,0.94435,0.86725,0.6469,1.01867,0.47613,0.01024,0.00165475,0.00165475,0.00165475
49,4578.94,1.01538,0.47437,0.00882,0.83416,0.92429,0.8676,0.70044,0.74844,0.4775,0.0078,0.00160824,0.00160824,0.00160824
50,4670.96,1.03021,0.46158,0.00861,0.81461,0.91304,0.86072,0.71007,0.76336,0.43986,0.00887,0.00156164,0.00156164,0.00156164
51,4768.67,1.04383,0.47152,0.00875,0.83038,0.93771,0.87178,0.68434,0.869,0.44488,0.00966,0.001515,0.001515,0.001515
52,4866.84,1.01544,0.45295,0.00856,0.84055,0.93791,0.86928,0.68224,0.86304,0.40713,0.00909,0.00146836,0.00146836,0.00146836
53,4958.99,1.01419,0.44902,0.00859,0.83601,0.94723,0.87203,0.70328,0.80379,0.3826,0.00842,0.00142176,0.00142176,0.00142176
54,5050.91,1.00464,0.4486,0.00831,0.81486,0.9511,0.8698,0.7065,0.77484,0.4038,0.00834,0.00137525,0.00137525,0.00137525
55,5144.07,0.98535,0.46226,0.00826,0.83041,0.94557,0.86623,0.70478,0.7886,0.43144,0.00823,0.00132888,0.00132888,0.00132888
56,5237.38,0.98437,0.4391,0.00822,0.8213,0.94473,0.86444,0.71881,0.73496,0.41063,0.00784,0.00128269,0.00128269,0.00128269
57,5329.51,0.97435,0.43811,0.00821,0.82245,0.94661,0.86174,0.70341,0.78342,0.4001,0.00865,0.00123674,0.00123674,0.00123674
58,5421.53,0.98595,0.44641,0.00831,0.81224,0.94235,0.85429,0.69949,0.74159,0.42454,0.00772,0.00119106,0.00119106,0.00119106
59,5513.54,0.97363,0.42918,0.00813,0.82534,0.93365,0.86411,0.72784,0.68658,0.38245,0.00748,0.0011457,0.0011457,0.0011457
60,5606.85,0.96691,0.42685,0.00814,0.82524,0.94509,0.86626,0.71299,0.73481,0.3958,0.00771,0.0011007,0.0011007,0.0011007
61,5698.52,0.9479,0.40925,0.00808,0.81821,0.93829,0.86746,0.67682,0.85545,0.40549,0.00873,0.00105611,0.00105611,0.00105611
62,5791.46,0.96123,0.43033,0.00799,0.80374,0.95648,0.86283,0.7084,0.74658,0.38009,0.00742,0.00101197,0.00101197,0.00101197
63,5884.31,0.94981,0.41959,0.008,0.83525,0.95352,0.87204,0.71533,0.72981,0.37035,0.00705,0.000968335,0.000968335,0.000968335
64,5976.32,0.95862,0.41702,0.00796,0.82635,0.93773,0.87822,0.73216,0.68746,0.39526,0.00714,0.000925235,0.000925235,0.000925235
65,6069.96,0.93834,0.40961,0.00774,0.83356,0.94359,0.87109,0.7258,0.72771,0.40706,0.00785,0.000882718,0.000882718,0.000882718
66,6161.86,0.92655,0.41486,0.00782,0.82437,0.94325,0.878,0.72104,0.74376,0.41307,0.00799,0.000840824,0.000840824,0.000840824
67,6254.52,0.92127,0.39989,0.00761,0.81942,0.93139,0.86928,0.70384,0.7879,0.42885,0.00852,0.000799596,0.000799596,0.000799596
68,6346.26,0.90542,0.41652,0.00735,0.82329,0.94185,0.8724,0.72819,0.72382,0.38795,0.00808,0.000759073,0.000759073,0.000759073
69,6440.4,0.91493,0.41198,0.00769,0.83258,0.95053,0.87069,0.69049,0.8497,0.44342,0.00881,0.000719297,0.000719297,0.000719297
70,6532.24,0.914,0.39217,0.0075,0.82832,0.94574,0.87345,0.72098,0.73668,0.37799,0.00782,0.000680306,0.000680306,0.000680306
71,6624.55,0.90093,0.38752,0.00756,0.83292,0.94225,0.87128,0.69806,0.79717,0.38376,0.00816,0.000642139,0.000642139,0.000642139
72,6717.45,0.91375,0.39715,0.0075,0.82416,0.96054,0.87029,0.71627,0.73609,0.38403,0.00776,0.000604833,0.000604833,0.000604833
73,6810.19,0.91593,0.39748,0.00763,0.83585,0.95608,0.86983,0.70988,0.7783,0.38189,0.00826,0.000568425,0.000568425,0.000568425
74,6902.87,0.90283,0.39992,0.00757,0.83551,0.94641,0.86786,0.72794,0.69512,0.38299,0.00733,0.000532952,0.000532952,0.000532952
75,6995.66,0.88862,0.39631,0.00739,0.83174,0.94452,0.88379,0.72539,0.73966,0.37303,0.00789,0.000498448,0.000498448,0.000498448
76,7087.23,0.89068,0.38388,0.00723,0.82888,0.95795,0.88593,0.72575,0.74931,0.37353,0.00797,0.000464946,0.000464946,0.000464946
77,7180.09,0.87957,0.38181,0.00734,0.84936,0.94771,0.8805,0.71673,0.76851,0.39829,0.00773,0.000432482,0.000432482,0.000432482
78,7275.44,0.87349,0.38981,0.00723,0.85196,0.92924,0.87897,0.73073,0.71169,0.38166,0.00728,0.000401085,0.000401085,0.000401085
79,7367.55,0.87214,0.38545,0.00728,0.84823,0.93381,0.87903,0.7316,0.70667,0.39111,0.00704,0.000370788,0.000370788,0.000370788
80,7460.52,0.87418,0.39193,0.00714,0.83333,0.9655,0.87738,0.73063,0.70896,0.39124,0.00707,0.00034162,0.00034162,0.00034162
81,7553.23,0.85868,0.39045,0.00705,0.82931,0.94495,0.88025,0.73648,0.68518,0.36938,0.00684,0.00031361,0.00031361,0.00031361
82,7645.83,0.83749,0.36277,0.00684,0.83972,0.93952,0.88252,0.73623,0.70127,0.3788,0.00703,0.000286785,0.000286785,0.000286785
83,7738.4,0.86491,0.38533,0.00713,0.84101,0.93387,0.8763,0.73041,0.69827,0.38532,0.00703,0.000261173,0.000261173,0.000261173
84,7830.8,0.85025,0.37381,0.00715,0.84318,0.94988,0.88335,0.73273,0.73056,0.39267,0.00732,0.000236798,0.000236798,0.000236798
85,7922.8,0.84561,0.3758,0.00696,0.84575,0.94,0.88038,0.74243,0.65907,0.38306,0.00672,0.000213685,0.000213685,0.000213685
86,8015.79,0.84468,0.38836,0.00679,0.84261,0.94864,0.87244,0.72669,0.69993,0.37425,0.0073,0.000191855,0.000191855,0.000191855
87,8106.89,0.82868,0.37266,0.0068,0.83895,0.95498,0.87869,0.73671,0.67881,0.37814,0.00687,0.000171332,0.000171332,0.000171332
88,8200.97,0.84763,0.38373,0.00697,0.83988,0.94833,0.87383,0.73051,0.69786,0.39155,0.00705,0.000152134,0.000152134,0.000152134
89,8293.17,0.84505,0.38202,0.00693,0.83733,0.94591,0.87075,0.7363,0.66732,0.37747,0.0067,0.000134282,0.000134282,0.000134282
90,8386.58,0.8412,0.38323,0.00698,0.8456,0.94616,0.87208,0.73265,0.66045,0.38671,0.00684,0.000117792,0.000117792,0.000117792
91,8472.31,0.69532,0.28807,0.00635,0.84569,0.95706,0.87438,0.73441,0.67774,0.35735,0.007,0.000102681,0.000102681,0.000102681
92,8558.29,0.68979,0.28821,0.0063,0.84706,0.94391,0.87586,0.72698,0.70392,0.37629,0.00729,8.89639e-05,8.89639e-05,8.89639e-05
93,8643.81,0.68083,0.28369,0.00625,0.84234,0.95363,0.8771,0.73438,0.6741,0.36719,0.00696,7.6654e-05,7.6654e-05,7.6654e-05
94,8729.65,0.67716,0.28399,0.00625,0.83907,0.95032,0.87455,0.7318,0.66892,0.37125,0.00687,6.57636e-05,6.57636e-05,6.57636e-05
95,8815.3,0.68001,0.29012,0.00615,0.84307,0.95387,0.87663,0.73496,0.66944,0.3693,0.00703,5.63034e-05,5.63034e-05,5.63034e-05
96,8901.22,0.67483,0.27949,0.00623,0.84683,0.95958,0.87433,0.73735,0.65795,0.36306,0.0069,4.82828e-05,4.82828e-05,4.82828e-05
97,8986.65,0.68071,0.2888,0.00623,0.84014,0.96339,0.87364,0.73676,0.65748,0.36406,0.00685,4.17097e-05,4.17097e-05,4.17097e-05
98,9072.51,0.68112,0.27548,0.00621,0.83992,0.95695,0.87477,0.73688,0.65718,0.35713,0.0066,3.65905e-05,3.65905e-05,3.65905e-05
99,9158.69,0.67222,0.2808,0.0061,0.83727,0.95685,0.87391,0.73605,0.65182,0.35678,0.00649,3.29303e-05,3.29303e-05,3.29303e-05
100,9245.5,0.68767,0.28645,0.00623,0.83966,0.95781,0.87419,0.73351,0.65884,0.35624,0.00665,3.07328e-05,3.07328e-05,3.07328e-05
