epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,6762.66,0.25673,0.62331,0.00569,0,0,0,0,0.36353,5.76782,0.01309,0.000461898,0.000461898,0.000461898
47,6888.96,0.26706,0.63047,0.00612,0,0,0,0,0.37515,5.62363,0.01308,0.000453652,0.000453652,0.000453652
48,7017.21,0.24782,0.6296,0.00575,0,0,0,0,0.35266,5.63326,0.01237,0.000445405,0.000445405,0.000445405
49,7144.94,0.25332,0.6088,0.0056,0,0,0,0,0.4787,5.55772,0.01743,0.000437158,0.000437158,0.000437158
50,7272.83,0.26605,0.6103,0.00632,0,0,0,0,0.36381,5.71385,0.01258,0.000428912,0.000428912,0.000428912
51,7687.65,0.24414,0.57304,0.00551,0,0,0,0,0.39693,5.86447,0.01401,0.000420665,0.000420665,0.000420665
52,10926.1,0.2372,0.53845,0.00521,0,0,0,0,0.34807,5.88668,0.01218,0.000412418,0.000412418,0.000412418
53,11052.4,0.2456,0.53962,0.0055,0,0,0,0,0.35412,5.96206,0.0125,0.000404172,0.000404172,0.000404172
54,11177.9,0.24623,0.57902,0.0054,0,0,0,0,0.34335,5.94537,0.01192,0.000395925,0.000395925,0.000395925
55,11304.2,0.23928,0.57395,0.0053,0,0,0,0,0.33727,6.15133,0.01168,0.000387678,0.000387678,0.000387678
56,11428.8,0.2446,0.53869,0.00581,0,0,0,0,0.32453,5.71398,0.01121,0.000379431,0.000379431,0.000379431
57,11552.2,0.23101,0.56993,0.00495,0,0,0,0,0.32688,6.06683,0.01109,0.000371185,0.000371185,0.000371185
58,11675.3,0.22197,0.58957,0.00508,0,0,0,0,0.34474,6.10295,0.01222,0.000362938,0.000362938,0.000362938
59,11798.5,0.22884,0.53803,0.00508,0,0,0,0,0.3817,5.83572,0.01323,0.000354691,0.000354691,0.000354691
60,11921.7,0.24047,0.53554,0.00581,0,0,0,0,0.33141,6.15505,0.01155,0.000346445,0.000346445,0.000346445
61,12045.3,0.21932,0.47529,0.00508,0,0,0,0,0.31999,5.94209,0.01125,0.000338198,0.000338198,0.000338198
62,12172.3,0.22219,0.51881,0.0052,0,0,0,0,0.35484,6.22364,0.01239,0.000329951,0.000329951,0.000329951
63,12301.5,0.21535,0.52893,0.00475,0,0,0,0,0.33435,6.16372,0.01158,0.000321705,0.000321705,0.000321705
64,12428.2,0.22909,0.53343,0.00539,0,0,0,0,0.32583,6.02002,0.01133,0.000313458,0.000313458,0.000313458
65,12552.2,0.20659,0.4782,0.0048,0,0,0,0,0.35007,6.2706,0.01206,0.000305211,0.000305211,0.000305211
66,12674.4,0.21429,0.46134,0.00477,0,0,0,0,0.30783,6.38926,0.01072,0.000296964,0.000296964,0.000296964
67,12797.6,0.22711,0.51239,0.00523,0,0,0,0,0.35384,6.27827,0.01248,0.000288718,0.000288718,0.000288718
68,12925.9,0.20698,0.46458,0.00465,0,0,0,0,0.32016,6.29197,0.01109,0.000280471,0.000280471,0.000280471
69,13055.9,0.20282,0.46977,0.00461,0,0,0,0,0.29484,6.38711,0.01015,0.000272224,0.000272224,0.000272224
70,13187.1,0.19284,0.48034,0.00426,0,0,0,0,0.3086,6.2703,0.01072,0.000263978,0.000263978,0.000263978
71,13318.1,0.20565,0.44649,0.00449,0,0,0,0,0.30273,6.35194,0.01024,0.000255731,0.000255731,0.000255731
72,13450.2,0.19213,0.42839,0.00419,0,0,0,0,0.3047,6.12712,0.01046,0.000247484,0.000247484,0.000247484
73,13581.9,0.2265,0.46177,0.0057,0,0,0,0,0.36427,6.12891,0.01273,0.000239238,0.000239238,0.000239238
74,13710.5,0.19829,0.45022,0.00448,0,0,0,0,0.33323,6.35022,0.01153,0.000230991,0.000230991,0.000230991
75,13836,0.18772,0.42594,0.00393,0,0,0,0,0.31224,6.30737,0.01083,0.000222744,0.000222744,0.000222744
76,13960.8,0.18919,0.41879,0.00444,0,0,0,0,0.33606,6.3163,0.01165,0.000214497,0.000214497,0.000214497
77,14085.7,0.19438,0.42177,0.00412,0,0,0,0,0.29343,6.5428,0.01008,0.000206251,0.000206251,0.000206251
78,14211.6,0.19483,0.41717,0.00441,0,0,0,0,0.33098,6.38118,0.01174,0.000198004,0.000198004,0.000198004
79,14337.5,0.17899,0.41937,0.00395,0,0,0,0,0.29391,6.53377,0.01007,0.000189757,0.000189757,0.000189757
80,14462.9,0.18327,0.41178,0.00405,0,0,0,0,0.27761,6.44759,0.00955,0.000181511,0.000181511,0.000181511
