timestamp_s,elapsed_s,event,key_code,command_linear_mps,command_angular_rps,target_left_wheel_mps,target_right_wheel_mps,seq,mcu_time_ms,dt_us,current_linear_mps,current_angular_rps,odom_x_m,odom_y_m,odom_heading_rad,left_encoder_delta,right_encoder_delta,left_wheel_rps,right_wheel_rps,left_pwm,right_pwm,sonar_distance_cm,flags,packet_hex,rx_bytes
1788459110.933598,2.407354,rx,-1,0.000000,0.000000,0.000000,0.000000,15,401,25004,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,-1,0,,0
1788459111.005740,2.479507,rx,-1,0.000000,0.000000,0.000000,0.000000,16,425,24996,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,-1,0,,0
1788459111.005820,2.479595,rx,-1,0.000000,0.000000,0.000000,0.000000,17,450,24992,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,-1,0,,0
1788459111.005870,2.479646,rx,-1,0.000000,0.000000,0.000000,0.000000,18,476,25016,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,-1,0,,0
1788459111.005918,2.479693,rx,-1,0.000000,0.000000,0.000000,0.000000,19,500,24964,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,-1,0,,0
1788459111.005962,2.479737,rx,-1,0.000000,0.000000,0.000000,0.000000,20,525,25000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,-1,2,,0
1788459111.006006,2.479782,rx,-1,0.000000,0.000000,0.000000,0.000000,21,550,25004,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,-1,2,,0
1788459111.006057,2.479832,rx,-1,0.000000,0.000000,0.000000,0.000000,22,575,25000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,-1,2,,0
1788459111.006101,2.479877,rx,-1,0.000000,0.000000,0.000000,0.000000,23,601,25012,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,-1,2,,0
1788459111.006147,2.479922,rx,-1,0.000000,0.000000,0.000000,0.000000,24,625,24980,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,-1,2,,0
1788459111.006193,2.479969,rx,-1,0.000000,0.000000,0.000000,0.000000,25,650,25028,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,-1,2,,0
1788459111.006238,2.480014,rx,-1,0.000000,0.000000,0.000000,0.000000,26,675,25020,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,-1,2,,0
1788459111.006288,2.480064,rx,-1,0.000000,0.000000,0.000000,0.000000,27,700,24980,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,-1,2,,0
1788459111.006307,2.480083,startup,-1,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,aa5501090000000000000000004829,1020
1788459111.010012,2.483785,rx,-1,0.000000,0.000000,0.000000,0.000000,28,726,24996,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,-1,2,,1020
