epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,28.1533,0.70879,0.85538,0.00909,0.49912,1,0.7072,0.56981,1.01025,0.83885,0.01383,0.000244681,0.000244681,0.0513085
2,44.5345,0.49777,0.78936,0.00611,0.5,1,0.68555,0.55606,0.9387,0.77809,0.01236,0.000331436,0.000331436,0.00139527
3,59.2507,0.47616,0.78947,0.00584,0.5,1,0.67424,0.53567,0.85523,0.7741,0.01119,0.00017,0.00017,0.00017
