epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2401.04,1.03671,0.4789,0.00878,0.82492,0.93789,0.8599,0.66054,0.91024,0.4636,0.00958,0.0019293,0.0019293,0.0019293
43,2456.26,1.06932,0.47667,0.0092,0.79582,0.97447,0.86969,0.69538,0.84891,0.44661,0.00947,0.0018843,0.0018843,0.0018843
44,2510.77,1.06028,0.47656,0.00925,0.80848,0.95468,0.86744,0.63731,0.99458,0.49705,0.00987,0.00183894,0.00183894,0.00183894
45,2565.73,1.03897,0.45631,0.00894,0.81443,0.95901,0.85902,0.68767,0.81975,0.38864,0.00914,0.00179326,0.00179326,0.00179326
46,2620.21,1.04078,0.47441,0.0087,0.83094,0.94008,0.86117,0.64577,0.9668,0.45192,0.01022,0.00174731,0.00174731,0.00174731
47,2676.8,1.031,0.44816,0.00883,0.80337,0.93164,0.85126,0.69108,0.78285,0.48149,0.00873,0.00170112,0.00170112,0.00170112
48,2734.39,1.02713,0.45277,0.00884,0.82427,0.94437,0.86527,0.6887,0.81124,0.4913,0.0087,0.00165475,0.00165475,0.00165475
49,2790.09,1.01873,0.46707,0.00864,0.82829,0.94064,0.86884,0.64377,1.01512,0.46886,0.01067,0.00160824,0.00160824,0.00160824
50,2844.73,1.0002,0.44975,0.00832,0.82212,0.9616,0.86314,0.64796,0.94958,0.41328,0.01005,0.00156164,0.00156164,0.00156164
51,2898.9,0.98796,0.44359,0.00833,0.82961,0.95038,0.85977,0.67669,0.8756,0.40366,0.00956,0.001515,0.001515,0.001515
52,2953.73,1.01055,0.43654,0.00844,0.84422,0.95319,0.87422,0.63466,1.03508,0.40515,0.01085,0.00146836,0.00146836,0.00146836
53,3009.48,1.00203,0.44932,0.00849,0.82178,0.92884,0.87784,0.70554,0.82417,0.41815,0.00861,0.00142176,0.00142176,0.00142176
54,3064.44,0.95989,0.43998,0.00828,0.82859,0.94958,0.86881,0.67258,0.93732,0.39036,0.01005,0.00137525,0.00137525,0.00137525
55,3119.77,0.98095,0.44081,0.00833,0.83798,0.94349,0.86039,0.64819,0.95149,0.46096,0.00986,0.00132888,0.00132888,0.00132888
56,3176.52,0.93219,0.43435,0.00785,0.83491,0.95401,0.86326,0.69068,0.82743,0.4429,0.00909,0.00128269,0.00128269,0.00128269
57,3231,0.96842,0.43586,0.00817,0.81401,0.95619,0.86297,0.67506,0.88835,0.41424,0.0095,0.00123674,0.00123674,0.00123674
58,3285.29,0.95673,0.42421,0.00812,0.82741,0.96145,0.86803,0.65985,0.93062,0.46259,0.00879,0.00119106,0.00119106,0.00119106
59,3341.33,0.97001,0.43706,0.00823,0.8379,0.94576,0.86781,0.65024,0.96616,0.42284,0.00926,0.0011457,0.0011457,0.0011457
60,3397.44,0.95095,0.4179,0.00787,0.82552,0.94394,0.86246,0.65502,0.91745,0.41302,0.00878,0.0011007,0.0011007,0.0011007
61,3451.91,0.95698,0.43135,0.00794,0.82498,0.96927,0.87143,0.67683,0.87874,0.38803,0.00866,0.00105611,0.00105611,0.00105611
62,3505.85,0.92144,0.40744,0.00783,0.82882,0.96874,0.86287,0.6981,0.7496,0.3948,0.00733,0.00101197,0.00101197,0.00101197
63,3560.39,0.9401,0.4184,0.00777,0.84142,0.96276,0.86243,0.64558,0.95657,0.38226,0.00908,0.000968335,0.000968335,0.000968335
64,3614.86,0.9073,0.42111,0.00754,0.82789,0.95195,0.85994,0.66632,0.89106,0.39989,0.00899,0.000925235,0.000925235,0.000925235
65,3670.94,0.93655,0.40486,0.00787,0.82655,0.96151,0.85619,0.64701,0.93958,0.40351,0.00923,0.000882718,0.000882718,0.000882718
66,3725.4,0.91108,0.40547,0.00763,0.84189,0.95469,0.85851,0.69022,0.78832,0.38494,0.00773,0.000840824,0.000840824,0.000840824
67,3780.62,0.91296,0.39663,0.00758,0.83079,0.95089,0.85868,0.61442,1.07161,0.41222,0.0098,0.000799596,0.000799596,0.000799596
